nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
0	1269211443	0	0	0x1c7fffff	0	478150655
30	1269216060	-22	44	0x1c7d0648	194999	477955656
60	1269220464	-39	4	0x1c78acd7	198008	477670615
90	1269225198	33	423	0x1c798d48	4294952991	477728072
120	1269229959	24	330	0x1d008101	4286359545	486572289
150	1269234605	-40	160	0x1d008502	175	486573314
180	1269239022	11	11	0x1d008794	225	486573972
210	1269243650	40	125	0x1d008886	4294967260	486574214
240	1269248244	55	75	0x1d008aa8	4294967081	486574760
270	1269252947	22	94	0x1d008eaf	4294966637	486575791
300	1269257365	20	-47	0x1d008e2e	1176	486575662
330	1269261962	41	231	0x1d008c8c	313	486575244
360	1269266318	-31	-134	0x1d008f87	805	486576007
390	1269270499	-30	-278	0x1d008c1e	148	486575134
420	1269274803	50	-25	0x1c7e6f82	8525341	478048130
450	1269279142	-23	-45	0x1c7f0c02	39325	478088194
480	1269283574	-41	20	0x1c7c5f46	4294948859	477912902
510	1269288121	12	39	0x1c7c2c62	74290	477899874
540	1269292732	-33	126	0x1c7ea9d6	43851	478063062
570	1269297101	-16	-211	0x1c7d01b1	8617792	477954481
600	1269301485	-40	-48	0x1c79b4b5	113617	477738165
630	1269306342	35	213	0x1c7d89ec	4294817706	477989356
660	1269310829	-34	59	0x1d0080e9	507	486572265
690	1269315216	54	-69	0x1c7ecbde	8500668	478071774
720	1269319874	51	21	0x1d00801c	4286461711	486572060
750	1269324363	-5	-70	0x1d008165	724	486572389
780	1269328660	41	-124	0x1c7ecafc	8501092	478071548
810	1269333096	1	-95	0x1c7cb54b	163943	477934923
840	1269337815	47	84	0x1c7f2edf	4294784749	478097119
870	1269342219	-47	-125	0x1c7fcadf	8435405	478137055
900	1269347006	-20	32	0x1d0086c5	4294965739	486573765
930	1269351461	-39	23	0x1d00862a	4294966398	486573610
960	1269355870	-7	-162	0x1d008547	541	486573383
990	1269360097	24	-133	0x1c7cce1d	8630932	477941277
1020	1269364689	1	34	0x1c7d62d3	54579	477979347
1050	1269369319	25	69	0x1d00810f	4286374392	486572303
1080	1269373556	-10	-196	0x1c7a61ae	8790089	477782446
1110	1269378364	-46	300	0x1c7f4847	4294625011	478103623
1140	1269382868	43	88	0x1d0080e8	268	486572264
1170	1269387162	5	-57	0x1c7df561	8555620	478016865
1200	1269391691	-28	-105	0x1c7dcb7b	113660	478006139
1230	1269396016	15	111	0x1c76b096	261972	477540502
1260	1269400662	17	55	0x1c7c51d7	4294902722	477909463
1290	1269405063	48	-11	0x1c781b00	254013	477633280
1320	1269409887	-32	106	0x1d008248	4286311826	486572616
1350	1269414399	-24	7	0x1d008234	202	486572596
1380	1269418711	38	5	0x1c7df9a6	8554663	478017958
1410	1269423304	-28	-96	0x1d0080b7	4294967206	486572215
1440	1269427562	-31	-282	0x1c7c6fc4	8655277	477917124
1470	1269431996	-13	-138	0x1c7a27e3	4294960413	477767651
1500	1269436304	14	-32	0x1c75429b	83130	477446811
1530	1269441105	-28	297	0x1c77f570	4294796769	477623664
1560	1269445904	33	142	0x1c7f8d00	4294815009	478121216
1590	1269450046	-34	-218	0x1c7a188a	8808701	477763722
1620	1269454491	-40	-161	0x1c7b1081	10293	477827201
1650	1269459051	-36	120	0x1c7904e2	4294925243	477693154
1680	1269463260	-31	-252	0x1c7756cc	287373	477583052
1710	1269467636	12	-60	0x1c72db84	4294900220	477289348
1740	1269472443	-9	218	0x1c75e85e	4294634701	477489246
1770	1269477071	-23	17	0x1c7bb546	4294796472	477869382
1800	1269481570	-49	-5	0x1c7ac528	50550	477807912
1830	1269486112	-6	-22	0x1c7afade	62821	477821662
1860	1269490526	43	-82	0x1c77e2dd	162075	477618909
1890	1269495361	-1	213	0x1c7f081f	4294695229	478087199
1920	1269499776	6	-156	0x1d008120	177	486572320
1950	1269504294	39	33	0x1c7ebc3f	26809	478067775
1980	1269508722	45	226	0x1c7c518e	95599	477909390
2010	1269513469	0	63	0x1d0082b2	4286388150	486572722
2040	1269517902	38	14	0x1d0083f1	4294966952	486573041
2070	1269522388	-51	-27	0x1d00833c	4294966839	486572860
2100	1269526426	-24	-110	0x1c786f22	355764	477654818
2130	1269531240	-7	78	0x1c7de6c4	4294671659	478013124
2160	1269535771	-45	-61	0x1d0080d8	4286342631	486572248
2190	1269540349	-33	37	0x1d00807d	4286388961	486572157
2220	1269544718	-29	-137	0x1c7f69e1	4294942373	478112225
2250	1269549455	15	152	0x1d008198	4286484916	486572440
2280	1269554076	31	0	0x1d008608	4294967014	486573576
2310	1269558717	40	165	0x1d008552	4294967274	486573394
2340	1269563342	-1	137	0x1d008ab5	4294966694	486574773
2370	1269567855	23	43	0x1d008c32	4294967042	486575154
2400	1269572175	-23	-55	0x1d00855b	2141	486573403
2430	1269576822	47	157	0x1d00867d	266	486573693
2460	1269581226	28	1	0x1d008917	146	486574359
2490	1269585534	-5	-1	0x1d008258	842	486572632
2520	1269589831	3	-40	0x1d0080db	491	486572251
2550	1269594076	-30	-250	0x1c7a6616	8788805	477783574
2580	1269598204	-20	-235	0x1c73dec3	342659	477355715
