nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
0	1269211443	0	0	0x1c7fffff	0	478150655
30	1269217490	90	756	0x1d008b9b	4286542948	486575003
60	1269223676	22	942	0x1d00b11f	4294961230	486584607
90	1269229915	95	916	0x1d00e2ba	4294960067	486597306
120	1269236200	90	1070	0x1d0120c5	4294957181	486613189
150	1269242062	46	790	0x1d0167ab	4294957556	486631339
180	1269247742	23	809	0x1d01aa11	4294957275	486648337
210	1269253926	91	1065	0x1d0214d3	4294951440	486675667
240	1269260144	35	1007	0x1d02b4b3	4294943462	486716595
270	1269266076	6	777	0x1d035881	4294944559	486758529
300	1269272171	64	877	0x1d043085	4294933123	486813829
330	1269278067	84	739	0x1d05282b	4294932994	486877227
360	1269284104	33	887	0x1d0671bd	4294917092	486961597
390	1269290247	98	921	0x1d0819bb	4294897804	487070139
420	1269296420	65	1131	0x1d0a2d14	4294881297	487206164
450	1269302447	39	877	0x1d0cf5d9	4294864592	487388633
480	1269308438	59	993	0x1d0fbfed	4294859375	487571437
510	1269314526	97	1065	0x1d13a730	4294826778	487827248
540	1269320262	68	703	0x1d1860b2	4294803848	488136882
570	1269326298	90	932	0x1d1dda26	4294747422	488495654
600	1269332220	81	811	0x1d24c975	4294718907	488950133
630	1269338272	19	864	0x1d2e7a29	4294558229	489585193
660	1269344183	99	836	0x1d39102f	4294557147	490278959
690	1269350157	20	826	0x1d4670cd	4294427895	491155661
720	1269356184	49	760	0x1d588a0e	4294191063	492341774
750	1269362585	73	1078	0x1d711efd	4293879641	493952765
780	1269368746	56	842	0x1e0091ca	4286468876	503353802
810	1269375022	15	1131	0x1e00b8e9	4294960804	503363817
840	1269381017	31	739	0x1e00ee06	4294960037	503377414
870	1269387123	63	835	0x1e01261a	4294958282	503391770
900	1269392745	5	588	0x1e0165b8	4294957897	503408056
930	1269398699	20	704	0x1e01b069	4294955437	503427177
960	1269404825	18	848	0x1e0227ad	4294946922	503457709
990	1269411002	81	1002	0x1e02ab05	4294945393	503491333
1020	1269416840	86	836	0x1e034479	4294945218	503530617
1050	1269422614	32	756	0x1e03fc89	4294939907	503577737
1080	1269428283	14	624	0x1e04b813	4294940302	503625747
1110	1269434098	60	609	0x1e05c381	4294926430	503694209
1140	1269439749	14	522	0x1e06d579	4294925923	503764345
1170	1269445804	25	777	0x1e086c71	4294899288	503868529
1200	1269451738	51	847	0x1e0a31bc	4294894971	503984572
1230	1269457731	84	805	0x1e0cc2b9	4294874472	504152761
1260	1269463976	93	1018	0x1e10054f	4294837342	504366415
1290	1269470057	37	950	0x1e14ad65	4294793798	504671589
1320	1269476125	11	975	0x1e199b36	4294767621	504994614
1350	1269481988	13	910	0x1e1f4672	4294744911	505366130
1380	1269487710	18	816	0x1e2595ba	4294729195	505779642
1410	1269493872	96	1027	0x1e2f7a6c	4294557650	506428012
1440	1269499969	93	963	0x1e3bd07f	4294489816	507236479
1470	1269505810	85	708	0x1e4a1168	4294424091	508170600
1500	1269511739	62	752	0x1e5a1fa4	4294284525	509222820
1530	1269517433	88	691	0x1e6a8d2a	4294358576	510299434
1560	1269523359	17	872	0x1f0083e1	4285742159	520127457
1590	1269529221	81	824	0x1f00a08b	4294962953	520134795
1620	1269534794	5	692	0x1f00bcb8	4294963134	520142008
1650	1269541052	36	882	0x1f00f199	4294958024	520155545
1680	1269547122	45	850	0x1f012ae5	4294959641	520170213
1710	1269553243	80	841	0x1f017f20	4294953995	520191776
1740	1269559287	82	809	0x1f01de41	4294952258	520216129
1770	1269565125	20	806	0x1f02463a	4294950422	520242746
1800	1269571212	88	898	0x1f02d3ac	4294943845	520278956
1830	1269577104	88	700	0x1f0385f2	4294940337	520324594
1860	1269583357	72	962	0x1f046855	4294931657	520382549
1890	1269589442	32	849	0x1f059235	4294924093	520458805
1920	1269595594	57	831	0x1f071c80	4294909411	520559744
1950	1269601493	23	764	0x1f08d48b	4294899539	520672395
1980	1269607505	15	733	0x1f0b02f6	4294876101	520815350
2010	1269613405	36	843	0x1f0d4760	4294873628	520963936
2040	1269619467	87	840	0x1f10ab22	4294834620	521186082
2070	1269625576	96	939	0x1f14c532	4294816320	521454898
2100	1269631518	0	869	0x1f19c278	4294782407	521781880
2130	1269637437	62	749	0x1f1fd621	4294743335	522180129
2160	1269643469	70	838	0x1f27d362	4294657873	522703714
2190	1269649453	29	968	0x1f30faee	4294577708	523303662
2220	1269655661	79	967	0x1f3dddcc	4294457744	524148172
2250	1269661514	49	654	0x1f4da8aa	4294352403	525183146
2280	1269667173	75	670	0x1f5a623d	4294503119	526017085
2310	1269673145	75	870	0x1f6e0a01	4294291702	527305217
2340	1269679266	94	812	0x20008dff	4286187591	536907263
2370	1269685451	71	981	0x2000b335	4294960816	536916789
2400	1269691590	45	1005	0x2000e2f4	4294959738	536929012
2430	1269697648	79	829	0x2001190c	4294960126	536942860
2460	1269703646	64	915	0x20016099	4294956909	536961177
2490	1269709651	19	819	0x2001b877	4294954103	536983671
2520	1269715869	72	1073	0x20022d30	4294947241	537013552
2550	1269722028	26	908	0x2002be53	4294947119	537050707
2580	1269727963	76	890	0x20037377	4294942166	537097079
2610	1269733723	79	721	0x2004309b	4294937165	537145499
2640	1269739823	36	888	0x200540ac	4294923277	537215148
2670	1269745852	19	911	0x20066e76	4294921189	537292406
2700	1269751838	35	914	0x2008181b	4294902963	537401371
2730	1269757713	39	782	0x2009d6c5	4294898872	537515717
2760	1269763789	71	1011	0x200c1dd4	4294872975	537664980
2790	1269769926	62	926	0x200f8958	4294841150	537889112
2820	1269776092	71	928	0x2010207e	4294925603	537927806
2850	1269782167	26	897	0x200fddd8	4294966396	537910744
2880	1269788107	30	866	0x200e8333	102201	537822003
2910	1269794168	51	863	0x2000c787	954601	536921991
2940	1269800237	65	937	0x200ff3f5	9564	537916405
2970	1269806220	75	815	0x20100444	4294889569	537920580
3000	1269812541	70	1058	0x1e5dd1ea	28442281	509465066
3030	1269818293	27	870	0x200f87b3	4420	537888691
3060	1269824689	86	1012	0x200f54c5	27250	537875653
3090	1269830880	12	972	0x200f78ea	4294958745	537884906
3120	1269837077	43	838	0x200efcf1	67246	537853169
3150	1269843232	49	1018	0x200fe85b	4294952997	537913435
3180	1269849408	72	1029	0x200fbb69	18939	537901929
3210	1269855075	58	665	0x200f7a60	11406	537885280
3240	1269861160	95	1019	0x200f819f	4294955018	537887135
3270	1269867160	99	876	0x200fdc79	3725	537910393
3300	1269873275	52	855	0x200f5c4a	4294953530	537877578
3330	1269879326	88	847	0x200fb144	4294960385	537899332
3360	1269885224	22	812	0x200fffdc	4294955006	537919452
3390	1269891379	52	1049	0x200fbdb3	12565	537902515
3420	1269897163	29	687	0x200ee275	84037	537846389
3450	1269903103	31	855	0x1f3b7d4e	13867757	523992398
3480	1269909081	76	739	0x200fa1fa	4294957303	537895418
3510	1269915403	63	1040	0x200f3e5b	31243	537869915
3540	1269921368	71	887	0x200f35cc	15282	537867724
3570	1269927279	43	765	0x200f8cb6	4294961594	537889974
3600	1269933638	100	982	0x20102c53	4294938976	537930835
3630	1269939619	50	861	0x200f25da	4294932804	537863642
3660	1269945627	19	809	0x200f8a41	4294961154	537889345
3690	1269951635	12	813	0x200fef3a	4294951039	537915194
3720	1269957342	31	507	0x200f96c7	4294934788	537892551
3750	1269963068	62	596	0x200f18c1	4294957461	537860289
3780	1269968962	74	809	0x200f0731	4294956762	537855793
3810	1269975075	11	965	0x200f9276	4294936966	537891446
3840	1269981059	99	859	0x200fcfc0	4294965082	537907136
3870	1269987258	34	1012	0x200ec01a	86016	537837594
3900	1269993335	1	789	0x200fbe1a	4294945167	537902618
3930	1269999173	75	885	0x200f8a70	3875	537889392
3960	1270005042	9	775	0x200fbf99	2543	537903001
3990	1270011116	31	760	0x200fd442	2527	537908290
4020	1270017212	3	843	0x201024eb	4294930761	537928939
4050	1270023068	11	751	0x200f0f96	4294938744	537857942
4080	1270029176	82	852	0x200fb40c	4294931933	537900044
4110	1270034843	7	717	0x200f6394	9718	537879444
4140	1270040444	52	596	0x200ec937	31105	537839927
4170	1270046389	92	972	0x200f3b7c	4294923995	537869180
4200	1270052040	78	606	0x200f3bfc	13854	537869308
4230	1270058107	39	907	0x200f2935	4294956835	537864501
4260	1270064023	38	849	0x200f4cdc	6228	537873628
4290	1270069943	8	711	0x200f8a44	1106	537889348
4320	1270075986	11	810	0x20101083	4294947068	537923715
4350	1270081910	10	719	0x2010100b	4294898805	537923595
4380	1270087666	0	645	0x200f1dbe	3584	537861566
4410	1270093867	90	962	0x200f9ac9	4294916989	537893577
4440	1270100022	75	978	0x2010277f	4294930462	537929599
4470	1270106240	79	1029	0x200f43cd	4294941042	537871309
4500	1270112427	61	938	0x200ea3c4	93991	537830340
4530	1270118370	54	987	0x200f3edf	4278044787	537870047
4560	1270124433	68	753	0x20100790	4294952335	537921424
4590	1270130374	14	827	0x200fb792	4294967229	537900946
4620	1270136515	45	893	0x200fbc0e	19163	537902094
4650	1270142476	65	718	0x200fe876	4294965518	537913462
4680	1270148410	34	676	0x200f0821	68891	537856033
4710	1270154305	70	802	0x200f63e6	4277931799	537879526
4740	1270160247	73	842	0x200f5ded	4294964606	537877997
4770	1270166333	20	878	0x200fca16	4294958966	537905686
4800	1270172080	48	896	0x200fc3e6	4293989803	537904102
4830	1270178118	27	959	0x201002ba	4294954384	537920186
4860	1270183952	45	762	0x200efbc4	4277257245	537852868
4890	1270189902	36	790	0x200f7f28	4294948467	537886504
4920	1270196108	25	941	0x200fc766	4294942923	537904998
4950	1270202053	78	836	0x200e022f	141925	537788975
4980	1270208105	86	807	0x200f9d7b	27576	537894267
5010	1270214131	74	956	0x200ffaea	4294955490	537918186
5040	1270220181	99	893	0x200edfc6	78060	537845702
5070	1270226014	41	883	0x200f6156	8656	537878870
5100	1270232300	25	969	0x20101eb6	4294945467	537927350
5130	1270238206	56	726	0x200f533a	4294900617	537875258
5160	1270244277	29	778	0x200fc75c	4294945553	537904988
5190	1270250224	50	599	0x200e9d81	86583	537828737
5220	1270255955	31	728	0x200f7f73	4294943254	537886579
5250	1270261675	5	606	0x1f5b5819	11797420	526080025
