nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
0	1269211443	0	0	0x1c7fffff	0	478150655
30	1269214467	-78	-825	0x1c6de663	1186204	476964451
60	1269217402	-59	-956	0x1c56897c	784929	475433340
90	1269220569	-4	-728	0x1c460728	453244	474351400
120	1269223471	-77	-894	0x1c375080	538371	473387136
150	1269226493	-98	-944	0x1c2ceaa6	330761	472705702
180	1269229521	-94	-863	0x1c22f600	342060	472053248
210	1269232495	-83	-774	0x1c1c10a1	235382	471601313
240	1269235767	-87	-677	0x1c170c70	145616	471272560
270	1269238713	-15	-899	0x1c125ab6	181929	470964918
300	1269241814	-60	-704	0x1c0e947c	139264	470717564
330	1269244755	-34	-723	0x1c0b6a7b	117503	470510203
360	1269247956	-57	-751	0x1c0966d5	88596	470378197
390	1269251089	-86	-722	0x1c07c047	64050	470270023
420	1269254375	-81	-847	0x1c068664	50924	470189668
450	1269257177	-95	-933	0x1c05072c	55018	470091564
480	1269260321	-38	-782	0x1c0422d0	28995	470033104
510	1269263272	-12	-755	0x1c033c93	30910	469974163
540	1269266320	-39	-827	0x1c029570	25140	469931376
570	1269269293	-60	-845	0x1c020ca4	20746	469896356
600	1269272190	-41	-929	0x1c01a381	15156	469869441
630	1269275383	-4	-767	0x1c015127	10389	469848359
660	1269278416	-9	-886	0x1c01122d	9180	469832237
690	1269281235	-59	-935	0x1c00d3cb	8283	469816267
720	1269284144	-34	-932	0x1c00a6fc	5964	469804796
750	1269287363	-2	-753	0x1c00889e	3621	469797022
780	1269290518	-30	-887	0x1b6f698f	997802	460286351
810	1269293468	-92	-1019	0x1b5b1d79	736385	458956153
840	1269296510	-83	-889	0x1b474155	626028	457654613
870	1269299567	-80	-786	0x1b3948ce	412024	456739022
900	1269302587	-37	-750	0x1b2d8bdb	382465	455969755
930	1269305721	-21	-790	0x1b24d2a2	267869	455398050
960	1269308743	-25	-794	0x1b1db510	249945	454931728
990	1269311664	-35	-869	0x1b1749c2	229559	454511042
1020	1269314629	-14	-872	0x1b12946f	168701	454202479
1050	1269317758	-6	-770	0x1b0f0497	98845	453969047
1080	1269320808	-33	-915	0x1b0c4768	85833	453789544
1110	1269324006	-23	-932	0x1b0a12ce	63653	453645006
1140	1269326912	-38	-769	0x1b07bb92	77975	453491602
1170	1269329858	-85	-966	0x1b061de8	63047	453385704
1200	1269332885	-45	-715	0x1b04edc9	39079	453307849
1230	1269335938	-62	-881	0x1b03f01f	36962	453242911
1260	1269338744	-28	-887	0x1b031353	31443	453186387
1290	1269341787	-47	-785	0x1b02683b	22225	453142587
1320	1269344741	-41	-861	0x1b01eeb3	19143	453111475
1350	1269347557	-50	-1055	0x1b018966	14887	453085542
1380	1269350494	-90	-947	0x1b012fc9	11612	453062601
1410	1269353318	-5	-1034	0x1b00ee82	9610	453045890
1440	1269356408	-44	-823	0x1b00bc28	6682	453033000
1470	1269359275	-37	-800	0x1b009230	6177	453022256
1500	1269362392	-55	-834	0x1a78d57f	8892642	444126591
1530	1269365520	-23	-781	0x1a6085c5	929999	442533317
1560	1269368425	-28	-970	0x1a4cf8bf	751173	441252031
1590	1269371394	-31	-1021	0x1a3d5cbd	560044	440229053
1620	1269374550	-45	-604	0x1a304da2	411017	439373218
1650	1269377733	-72	-748	0x1a289967	298085	438868327
1680	1269380849	-68	-881	0x1a20b988	300134	438352264
1710	1269383939	-100	-808	0x1a1ac0a6	221649	437960870
1740	1269387017	-85	-812	0x1a15a602	158063	437626370
1770	1269390128	-38	-618	0x1a1111ea	154122	437326314
1800	1269392905	-98	-1050	0x1a0da341	142272	437101377
1830	1269395959	-4	-736	0x1a0aa283	89272	436904579
1860	1269398809	-71	-947	0x1a086ddd	89662	436760029
1890	1269401716	-64	-796	0x1a06894f	67624	436635983
1920	1269404760	-63	-722	0x1a054446	41545	436552774
1950	1269407803	-69	-879	0x1a04461e	34911	436487710
