nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
0	1269211443	0	0	0x1c7fffff	0	478150655
30	1269214564	-84	-682	0x1c6af7c1	1378366	476772289
60	1269217546	-33	-1020	0x1c507f4e	968435	475037518
90	1269220472	-27	-771	0x1c3a78c9	767387	473594057
120	1269223552	-68	-648	0x1c2c0ec3	513678	472649411
150	1269226482	-28	-878	0x1c21f8d1	393226	471988433
180	1269229475	-70	-864	0x1c18d665	341094	471389797
210	1269232550	-58	-928	0x1c139c36	178838	471047222
240	1269235548	-17	-916	0x1c0e4065	183301	470696037
270	1269238740	-34	-682	0x1c0b19aa	95240	470489514
300	1269241942	-58	-733	0x1c08a16d	88977	470327661
330	1269245032	-72	-742	0x1c069a93	77547	470194835
360	1269248191	-91	-807	0x1c0532eb	50689	470102763
390	1269251499	-48	-710	0x1c042040	33613	470032448
420	1269254617	-33	-675	0x1c031491	36381	469963921
450	1269257750	-21	-872	0x1c02744c	25472	469922892
480	1269260693	-17	-939	0x1c01daff	20949	469883647
510	1269263619	-85	-908	0x1c015af2	16551	469850866
540	1269266360	-75	-1105	0x1c00fbcd	13621	469826509
570	1269269690	-33	-713	0x1c00c303	6542	469811971
600	1269272699	-54	-773	0x1c009117	8017	469799191
630	1269275714	-24	-858	0x1b6f75f3	9506471	460289523
660	1269278547	-7	-956	0x1b516674	1244084	458319476
690	1269281546	-37	-810	0x1b3c9ff5	703115	456957941
720	1269284555	-86	-920	0x1b2ef77f	480938	456062847
750	1269287593	-78	-789	0x1b23979b	312268	455317403
780	1269290575	-67	-874	0x1b1a8749	292759	454723401
810	1269293554	-5	-903	0x1b134c99	263899	454249625
840	1269296337	-100	-942	0x1b0e5985	180020	453925253
870	1269299433	-47	-848	0x1b0ad18d	113805	453693837
900	1269302348	-75	-909	0x1b07f2bf	103465	453505727
930	1269305322	-97	-904	0x1b05fdc6	68098	453377478
960	1269308293	-37	-888	0x1b0471ae	57393	453276078
990	1269311377	-88	-805	0x1b036367	33696	453206887
1020	1269314215	-83	-1103	0x1b028e5c	31871	453152348
1050	1269317453	-65	-767	0x1b01f00e	18397	453111822
1080	1269320306	-84	-1046	0x1b0177ca	17029	453081034
1110	1269323119	-99	-1004	0x1b010b1a	13835	453053210
1140	1269326157	-2	-921	0x1b00c77b	8281	453035899
1170	1269329291	-72	-782	0x1b0098e7	6065	453023975
1200	1269332405	-85	-785	0x1a751eae	9136592	443883182
1230	1269335622	-4	-803	0x1a5b8144	997888	442204484
1260	1269338829	-14	-701	0x1a46b0c9	745244	440840393
1290	1269341789	-17	-881	0x1a35dc29	682413	439737385
1320	1269344589	-84	-909	0x1a2793d6	499117	438801366
1350	1269347599	-37	-871	0x1a1daea3	307800	438152867
1380	1269350571	-7	-902	0x1a160abc	255419	437652156
1410	1269353741	-40	-876	0x1a1118e2	158349	437328098
1440	1269356427	-75	-1033	0x1a0c24f0	170647	437003504
1470	1269359273	-7	-988	0x1a08d6a5	122549	436786853
1500	1269362090	-31	-982	0x1a066f7f	83299	436629375
1530	1269365287	-72	-711	0x1a04ee14	44665	436530708
1560	1269368228	-54	-912	0x1a03b92d	45601	436451629
1590	1269370984	-25	-1031	0x1a02b638	32231	436385336
1620	1269373769	-57	-856	0x1a01e39c	24671	436331420
1650	1269376582	-36	-943	0x1a016219	17994	436298265
1680	1269379522	-91	-997	0x1a010764	12483	436275044
1710	1269382503	-63	-713	0x1a00c2d7	8881	436257495
1740	1269385438	-59	-886	0x1a0093c9	6407	436245449
1770	1269388260	-87	-902	0x1968fb2f	1405847	426310447
1800	1269391306	-66	-844	0x194f9199	922668	424645017
1830	1269394276	-53	-807	0x193bbdd2	710605	423345618
1860	1269397129	-69	-949	0x192c7648	519573	422344264
1890	1269400064	-70	-935	0x1920bfcf	392993	421576655
1920	1269403170	-43	-850	0x1918b5c4	273231	421049796
1950	1269406357	-4	-677	0x1912a3d7	218441	420651991
1980	1269409311	-41	-792	0x190e3496	171098	420361366
2010	1269412119	-91	-1016	0x190a9f5c	136657	420126556
2040	1269415246	-21	-681	0x1907eb23	83506	419949347
2070	1269418563	-39	-703	0x190657b6	51991	419846070
2100	1269421762	-1	-732	0x1904e475	52140	419751029
2130	1269424558	-80	-1026	0x1903ac2f	50029	419671087
2160	1269427301	-43	-954	0x19029c17	35410	419601431
2190	1269430039	-22	-969	0x1901d94f	27193	419551567
2220	1269433240	-43	-709	0x19016deb	11939	419524075
2250	1269436078	-77	-957	0x19010cdc	13953	419499228
2280	1269438980	-13	-794	0x1900c3d0	9248	419480528
2310	1269442133	-43	-704	0x1900950a	6978	419468554
2340	1269445306	-6	-624	0x1871cbe8	9353794	410110952
2370	1269448337	-52	-652	0x1858e414	914015	408478740
2400	1269451429	-18	-756	0x18448d14	775818	407145748
2430	1269454572	-14	-789	0x18340262	565839	406061666
2460	1269457622	-32	-778	0x182799cf	429679	405248463
2490	1269460754	-98	-795	0x181f26a0	269115	404694688
2520	1269463568	-65	-1023	0x181711fd	301491	404165117
2550	1269466587	-97	-820	0x1810f6c4	189067	403764932
2580	1269469755	-31	-643	0x180ca5aa	148158	403482026
2610	1269472696	-89	-921	0x1809db21	121552	403299105
2640	1269475390	-25	-1052	0x18071f11	91598	403119889
2670	1269478607	-49	-806	0x18057606	47152	403011078
2700	1269481664	-22	-807	0x18040499	52550	402916505
2730	1269484522	-91	-847	0x1802f8f3	42796	402847987
2760	1269487681	-70	-756	0x18025199	19385	402805145
2790	1269490565	-47	-946	0x1801c2f3	18875	402768627
2820	1269493601	-81	-818	0x18014ec5	12330	402738885
2850	1269496668	-55	-798	0x1800fb6f	11320	402717551
2880	1269499509	-84	-824	0x1800b7df	9062	402700255
2910	1269502441	-67	-776	0x1800877c	6151	402687868
2940	1269505469	-64	-854	0x1766b3e3	1262482	392606691
2970	1269508647	-53	-884	0x17507c26	824544	391150630
3000	1269511844	-14	-758	0x173d7417	646697	389903383
3030	1269514704	-85	-953	0x172ec557	499935	388941143
3060	1269517603	-89	-977	0x17228f1d	390331	388140829
3090	1269520593	-63	-866	0x17197c7d	263249	387546237
3120	1269523604	-64	-852	0x1713167f	215476	387126911
3150	1269526579	-12	-709	0x170e072b	161833	386795307
3180	1269529698	-69	-733	0x170ababe	116383	386579134
3210	1269532650	-3	-918	0x17081f7b	101005	386408315
3240	1269535771	-43	-835	0x17064515	59753	386286869
3270	1269538828	-45	-709	0x17049c84	56592	386178180
3300	1269541769	-57	-1004	0x170389e8	43239	386107880
3330	1269544975	-15	-695	0x1702b3b8	29892	386053048
3360	1269548018	-27	-649	0x17020944	23715	386009412
3390	1269550910	-74	-925	0x170188bc	19163	385976508
3420	1269554153	-35	-689	0x17013392	8977	385954706
3450	1269557291	-8	-815	0x1700ee3f	9568	385936959
3480	1269560533	-38	-739	0x1700b91d	7241	385923357
3510	1269563357	-72	-952	0x17008af0	6832	385911536
3540	1269566287	-19	-911	0x16663227	1230571	375796263
3570	1269569220	-74	-1031	0x164c1a77	892531	374086263
3600	1269572103	-93	-868	0x1638141c	640597	372773916
3630	1269575410	-76	-678	0x162b829c	400593	371950236
3660	1269578272	-65	-959	0x162011cc	427166	371200460
3690	1269581224	-59	-802	0x1618020a	260805	370672138
3720	1269584367	-38	-839	0x16127602	198578	370308610
3750	1269587526	-27	-685	0x160e32e9	132299	370029289
3780	1269590381	-79	-832	0x160a59a2	155237	369777058
3810	1269593123	-54	-1080	0x16078b07	117901	369593095
3840	1269595966	-19	-843	0x16055aa6	82535	369449638
3870	1269598846	-9	-936	0x16041061	47425	369365089
3900	1269601813	-85	-967	0x16030d92	32822	369298834
3930	1269604852	-98	-865	0x16024a8f	24318	369248911
3960	1269607772	-74	-965	0x1601ae0f	22471	369208847
3990	1269610866	-57	-758	0x16014331	13403	369181489
4020	1269614011	-95	-786	0x1600fafa	9829	369163002
4050	1269616834	-66	-897	0x1600ba2b	9314	369146411
4080	1269619624	-12	-969	0x16008441	6857	369132609
4110	1269622858	-94	-786	0x1568ee6e	865742	359198318
4140	1269625841	0	-651	0x154a7878	1052390	357202040
4170	1269628916	-34	-879	0x153adbf7	664423	356178935
4200	1269631748	-87	-1031	0x152c72de	503356	355234526
4230	1269634771	-17	-870	0x15202d7c	415791	354430332
4260	1269637349	-67	-1192	0x1517a607	301411	353871367
4290	1269640384	-15	-757	0x15110aed	180123	353438445
4320	1269643361	-75	-888	0x150ce5a2	139680	353166754
4350	1269646377	-66	-988	0x1509cc0c	104552	352963596
4380	1269649453	-1	-829	0x15074d04	81625	352800004
4410	1269652810	-34	-660	0x1505d559	49291	352703833
4440	1269655938	-14	-670	0x15047797	46449	352614295
4470	1269658764	-95	-1074	0x1503608b	45199	352542859
4500	1269661537	-64	-843	0x150262e7	33505	352477927
4530	1269664478	-86	-890	0x1501c969	18947	352438633
4560	1269667638	-12	-695	0x15015273	14847	352408179
4590	1269670837	-51	-921	0x150113a0	9705	352392096
4620	1269673948	-81	-702	0x1500cfd1	8226	352374737
4650	1269676889	-28	-1028	0x15009f4c	7329	352362316
4680	1269679794	-41	-858	0x1472ad2b	9296818	343059755
4710	1269682768	-51	-834	0x145580c6	1007976	341147846
4740	1269685812	-31	-904	0x1442cb44	616001	339921732
4770	1269688754	-28	-785	0x1430c86e	537039	338741358
4800	1269691498	-70	-1148	0x14233f37	506599	337854263
4830	1269694494	-54	-777	0x1419d8a2	289469	337238178
4860	1269697545	-53	-719	0x14131c5e	240755	336796766
4890	1269700600	-31	-878	0x140eadbc	176128	336506300
4920	1269703732	-61	-863	0x140b71d0	126715	336294352
4950	1269706940	-5	-649	0x1408b608	97697	336115208
4980	1269710130	-64	-734	0x1406e975	72192	335997301
5010	1269713137	-40	-833	0x14053a8a	66735	335886986
5040	1269716135	-15	-766	0x1403ef4a	46153	335802186
5070	1269719222	-96	-792	0x1402fe6c	30920	335740524
5100	1269722201	-97	-930	0x14024834	27590	335693876
5130	1269725447	-12	-736	0x1401be19	19521	335658521
5160	1269728523	-82	-770	0x14015a3f	15551	335632959
5190	1269731704	-20	-711	0x140109a1	11870	335612321
5220	1269734855	-10	-632	0x1400cd3f	9373	335596863
5250	1269737726	-13	-855	0x14009b65	7143	335584101
5280	1269740880	-22	-680	0x13737cc7	9243817	326335687
5310	1269743877	-35	-820	0x13592c77	972509	324611191
5340	1269746863	-88	-860	0x1342a459	828405	323134553
5370	1269749737	-55	-930	0x13316bc2	633385	322005954
5400	1269752608	-57	-946	0x1324be12	423893	321175058
5430	1269755511	-20	-782	0x131a4f35	347969	320491317
5460	1269758497	-79	-965	0x13148ab5	203343	320113333
5490	1269761594	-15	-751	0x130efde0	149886	319749600
5520	1269764677	-23	-792	0x130b63b3	137118	319513523
5550	1269767839	-99	-763	0x1308e647	89987	319350343
5580	1269770887	-87	-772	0x1306cde2	76557	319213026
5610	1269773855	-69	-1086	0x1305382b	61106	319109163
5640	1269776722	-46	-898	0x1303c24f	47203	319013455
5670	1269779788	-38	-826	0x1302d5a3	31068	318952867
5700	1269782629	-56	-905	0x13021884	25619	318904452
5730	1269785496	-15	-906	0x13018276	20752	318866038
5760	1269788584	-19	-796	0x1301264a	13766	318842442
5790	1269791423	-50	-899	0x1300db8d	9707	318823309
5820	1269794595	-53	-680	0x1300a51f	6374	318809375
5850	1269797439	-9	-871	0x1278beb7	8901532	309903031
5880	1269800184	-55	-1007	0x1258d2d6	1233396	307811030
5910	1269803237	-23	-818	0x1241fc18	744042	306314264
5940	1269806355	-74	-726	0x1231b90e	570249	305248526
5970	1269809391	-17	-949	0x1225f908	459571	304478472
6000	1269812489	-50	-829	0x121d44c1	336109	303908033
6030	1269815441	-16	-922	0x1215e6ec	263760	303425260
6060	1269818568	-60	-866	0x1211069a	156528	303105690
6090	1269821575	-80	-920	0x120cac8a	151455	302820490
6120	1269824628	-64	-813	0x1209af2e	95412	302624558
6150	1269827836	-98	-837	0x120788a3	74301	302483619
6180	1269831030	-25	-850	0x1205d98e	62322	302373262
6210	1269833835	-53	-920	0x1204519f	55014	302272927
6240	1269836659	-36	-964	0x1203220d	43114	302195213
6270	1269839600	-87	-950	0x12025a21	25446	302144033
6300	1269842567	0	-811	0x1201b4cd	19491	302101709
6330	1269845760	-25	-760	0x120152ed	12215	302076653
6360	1269848863	-74	-855	0x12010707	9558	302057223
6390	1269851806	-75	-807	0x1200c1cd	9497	302039501
6420	1269854940	-44	-763	0x12009260	6537	302027360
6450	1269858048	-28	-740	0x117239f5	9325286	292698613
6480	1269861117	-23	-825	0x1157db5b	929873	290970459
6510	1269863932	-77	-837	0x113f12d8	981277	289346264
6540	1269866734	-69	-874	0x112e0af1	629055	288230129
6570	1269869884	-96	-873	0x1124434d	304909	287589197
6600	1269872674	-90	-1037	0x111a17c0	377715	286922688
6630	1269875546	-4	-876	0x1112cb00	261706	286444288
6660	1269878630	-33	-715	0x110dd386	194588	286118790
6690	1269881904	-21	-802	0x110b780b	86943	285964299
6720	1269885050	-18	-763	0x1108b8f0	85876	285784304
6750	1269888296	-90	-797	0x1106e350	72464	285664080
6780	1269891387	-38	-974	0x110559ab	57082	285563307
6810	1269894384	-9	-871	0x1103fbf1	48342	285473777
6840	1269897496	-59	-824	0x110316d0	28888	285415120
6870	1269900394	-90	-970	0x110241de	30024	285360606
6900	1269903053	-36	-967	0x11019984	23778	285317508
6930	1269906003	-44	-988	0x1101325c	14852	285291100
6960	1269908828	-25	-923	0x1100db92	12063	285268882
6990	1269911898	-55	-802	0x1100a66a	7144	285255274
7020	1269914911	-90	-815	0x107c48a9	8669618	276580521
7050	1269917915	-55	-852	0x105eab62	956070	274639714
7080	1269921149	-13	-935	0x104a3ece	629491	273301198
7110	1269924286	-79	-724	0x10394e61	521280	272191073
7140	1269927262	-57	-931	0x102aeba9	550266	271248297
7170	1269930206	-81	-908	0x102011c2	373691	270537154
7200	1269933202	-85	-855	0x1017e7df	268387	270002143
7230	1269936372	-35	-866	0x1012a184	198333	269656452
7260	1269939532	-16	-917	0x100e64f0	144627	269378800
7290	1269942541	-34	-889	0x100ace37	130370	269143607
7320	1269945518	-14	-773	0x1007f811	99207	268957713
7350	1269948604	-7	-856	0x100614a6	69361	268833958
7380	1269951523	-1	-979	0x10048d38	63497	268733752
7410	1269954508	-48	-875	0x100378d4	35098	268662996
7440	1269957344	-57	-1008	0x1002867b	34195	268600955
7470	1269960043	-56	-1015	0x1001c8f5	26235	268552437
7500	1269963270	-82	-671	0x10015fb2	12844	268525490
7530	1269966159	-81	-833	0x10010300	14494	268501760
7560	1269969274	-49	-848	0x1000c762	8775	268486498
7590	1269972318	-99	-726	0x10009825	6046	268474405
7620	1269975355	-37	-792	0x0f71c7b5	9355024	259114933
7650	1269978336	-39	-870	0x0f5561ad	1080422	257253805
7680	1269980970	-100	-1061	0x0f3d6b03	877041	255683331
7710	1269984077	-43	-714	0x0f2d79b3	505308	254638515
7740	1269987102	-80	-860	0x0f226ac1	438209	253913793
7770	1269990323	-10	-741	0x0f1afdbe	272168	253427134
7800	1269993228	-82	-904	0x0f141a3d	255972	252975677
7830	1269996047	-46	-952	0x0f0ea814	205953	252618772
7860	1269999053	-36	-819	0x0f0af8f2	119873	252377330
7890	1270002134	-53	-811	0x0f084c12	87904	252202002
7920	1270004997	-80	-999	0x0f066171	63921	252076401
7950	1270008191	-29	-665	0x0f04b94a	46709	251967818
7980	1270011197	-67	-804	0x0f039798	41990	251893656
8010	1270013817	-8	-1097	0x0f02921c	35759	251826716
8040	1270016913	-2	-730	0x0f01dfeb	21779	251781099
8070	1270019793	-7	-954	0x0f016c23	17463	251751459
8100	1270022948	-5	-817	0x0f0116e8	10441	251729640
8130	1270026181	-22	-721	0x0f00d724	8484	251713316
8160	1270029158	-56	-846	0x0f00a39e	7411	251700126
8190	1270032180	-72	-814	0x0e79c2bd	8834447	242860733
8220	1270035367	-30	-860	0x0e5f560e	1086936	241128974
8250	1270038297	-30	-840	0x0e465a93	983019	239491731
8280	1270041225	-9	-876	0x0e346b18	718528	238316312
8310	1270044204	-60	-850	0x0e27a9f1	474146	237480433
8340	1270046934	-88	-1013	0x0e1c905f	422330	236752991
8370	1270049935	-58	-785	0x0e151554	255578	236262740
8400	1270053097	-90	-872	0x0e10c718	124756	235980568
8430	1270056138	-77	-812	0x0e0c9fb5	125557	235708341
8460	1270059303	-56	-717	0x0e0985dc	110629	235505116
8490	1270062257	-91	-843	0x0e073414	84808	235353108
8520	1270065426	-25	-662	0x0e0565ee	67735	235234798
8550	1270068148	-81	-1041	0x0e040d69	59176	235146601
8580	1270071109	-36	-937	0x0e02f15a	38170	235073882
8610	1270073968	-6	-875	0x0e0227ea	27778	235022314
8640	1270076966	-30	-930	0x0e01a92d	15618	234989869
8670	1270079791	-37	-1015	0x0e013278	15215	234959480
8700	1270082657	-56	-856	0x0e00e205	10132	234938885
8730	1270085398	-97	-972	0x0e00a1ac	8491	234922412
8760	1270088037	-79	-1168	0x0d72cb0b	9290365	225626891
8790	1270091028	-74	-783	0x0d511fba	941228	223420346
8820	1270094075	-75	-815	0x0d3e229a	735101	222175898
8850	1270097305	-45	-835	0x0d318a06	414597	221350406
8880	1270100501	-47	-772	0x0d269f6d	311122	220634989
8910	1270103880	-38	-477	0x0d1e09df	286597	220072415
8940	1270107076	-12	-720	0x0d180e64	249612	219680356
8970	1270110261	-8	-669	0x0d1249fe	225919	219302398
9000	1270113269	-38	-971	0x0d0e6739	163955	219047737
9030	1270116450	-65	-845	0x0d0b14ed	103900	218830061
9060	1270119402	-47	-884	0x0d084595	99332	218645909
9090	1270122425	-79	-894	0x0d06463c	66404	218515004
9120	1270125361	-68	-904	0x0d049aec	58252	218405612
9150	1270128395	-99	-832	0x0d0386ca	35387	218334922
9180	1270131430	-11	-914	0x0d02ab97	29010	218278807
9210	1270134429	-44	-956	0x0d01fdbe	23940	218234302
9240	1270137156	-93	-1040	0x0d017188	19345	218198408
9270	1270140318	-22	-856	0x0d011934	11522	218175796
9300	1270143341	-87	-919	0x0d00d479	9472	218158201
9330	1270146240	-28	-877	0x0d009cce	8252	218143950
9360	1270149450	-20	-713	0x0c796aa6	8855489	209283750
9390	1270152540	-56	-887	0x0c5e949b	1002096	207525019
9420	1270155768	-70	-704	0x0c48969b	742888	206083739
9450	1270158817	-87	-768	0x0c37d938	558679	204986680
9480	1270161748	-6	-866	0x0c28e52b	548416	204006699
9510	1270164716	-32	-845	0x0c1ec968	371591	203344232
9540	1270167500	-87	-1079	0x0c17258b	265058	202843531
9570	1270170788	-18	-577	0x0c111395	174319	202445717
9600	1270173754	-91	-911	0x0c0d5249	148882	202199625
9630	1270177027	-10	-619	0x0c0a3c7f	85424	201997439
9660	1270179976	-77	-864	0x0c07dc7f	88589	201841791
9690	1270182886	-14	-990	0x0c05d391	73504	201708433
9720	1270185871	0	-727	0x0c04330d	54416	201601805
9750	1270188824	-51	-941	0x0c03389c	38325	201537692
9780	1270191986	-33	-861	0x0c027928	21494	201488680
9810	1270195022	-25	-856	0x0c01e797	19137	201451415
9840	1270198157	-14	-737	0x0c016b60	14971	201419616
9870	1270201342	-76	-782	0x0c011b2c	12628	201399084
9900	1270204416	-73	-873	0x0c00dcfb	8881	201383163
9930	1270207761	-54	-601	0x0c00ad6e	6130	201370990
9960	1270210738	-40	-792	0x0c0083f1	5754	201360369
9990	1270213762	-14	-646	0x0b60ffb1	1151735	190906289
10020	1270216784	-86	-914	0x0b4b577c	923449	189486972
10050	1270219792	-67	-917	0x0b38c7f2	693530	188270578
10080	1270222593	-34	-806	0x0b28a570	570194	187213168
10110	1270225550	-82	-1004	0x0b1ed510	350660	186570000
10140	1270228409	-42	-906	0x0b1644df	291508	186008799
10170	1270231148	-8	-1117	0x0b102d9f	239006	185609631
10200	1270233731	-29	-1216	0x0b0b62de	169773	185295582
10230	1270236738	-40	-1007	0x0b0869eb	100476	185100779
10260	1270239623	-89	-930	0x0b0630be	71936	184955070
10290	1270242483	0	-810	0x0b0457ea	64467	184834026
10320	1270245370	0	-785	0x0b0337ff	42969	184760319
10350	1270247987	-52	-1136	0x0b024ff3	37470	184700915
10380	1270251306	-21	-629	0x0b01c557	16806	184665431
10410	1270254427	-99	-783	0x0b016a7e	11573	184642174
10440	1270257438	-55	-798	0x0b010d95	9833	184618389
10470	1270260374	-54	-946	0x0b00c86e	10165	184600686
10500	1270263699	-73	-716	0x0b009f97	4252	184590231
10530	1270266843	-15	-821	0x0a7b0ceb	8749349	175836395
10560	1270270139	-47	-624	0x0a5f54df	944895	174019807
10590	1270273191	-46	-864	0x0a4c364f	761035	172766799
10620	1270276304	-5	-771	0x0a38d7a4	595038	171497380
10650	1270279437	-11	-791	0x0a2b5730	514963	170612528
10680	1270282388	-32	-730	0x0a208f35	408853	169905973
10710	1270285083	-100	-958	0x0a174994	351808	169298324
10740	1270287859	-91	-982	0x0a1108a0	233998	168888480
10770	1270290618	-43	-860	0x0a0c211e	165177	168567070
10800	1270293592	-31	-942	0x0a09112c	110157	168366380
10830	1270296603	-2	-873	0x0a06c16b	78361	168214891
10860	1270299528	-24	-924	0x0a0506d0	63799	168101584
10890	1270302581	-91	-988	0x0a03edf8	32554	168029688
10920	1270305434	-54	-825	0x0a02be0d	35246	167951885
10950	1270308663	-38	-764	0x0a02252b	19255	167912747
10980	1270311827	-91	-831	0x0a01b3ca	14907	167883722
11010	1270314915	-26	-716	0x0a0145b4	14503	167855540
11040	1270318135	-17	-789	0x0a010191	9504	167838097
11070	1270320967	-90	-974	0x0a00bf72	9004	167821170
11100	1270323772	-4	-1138	0x0a0089ff	8223	167807487
11130	1270326847	-78	-974	0x09680c4c	1154375	157813836
11160	1270329688	-55	-805	0x094b228a	1052744	155918986
11190	1270332595	-80	-1074	0x0938b78c	694092	154711948
11220	1270335378	-63	-935	0x09286432	581025	153642034
11250	1270338243	-15	-900	0x091d2d64	384682	152907108
11280	1270341253	-67	-818	0x0915b7f1	272794	152418289
11310	1270344414	-21	-810	0x0910f668	175742	152106600
11340	1270347394	-53	-933	0x090ce8e9	139687	151841001
11370	1270350387	-2	-856	0x090978d2	124993	151615698
11400	1270353606	-21	-734	0x090758da	80304	151476442
